Scan Code,Age,Gender,Ethnicity,Height cm,Weight kg,Head Circumference,Abdomen Circum Tape Measure,Abdomen Height,Abdomen Rise,Axilla Chest Circumference Tape Measure,Across Axilla Chest Back Length,Across Axilla Chest Front Length,Across Back Tape Measurement,Across Chest Tape Measurement,Ankle Circumference Left,Ankle Circumference Right,Arm Hole Circumference Left,Arm Hole Circumference Right,Arm Length Left,Arm Length Right,Arm Under Length Left,Arm Under Length Right,Back Neck to Back Chest Vertical Length,Back Neck to Shoulder Blade Tape Measure,Back Neck to Back Chest Contour Length,Back Shoulder Width Horizontal,Back Shoulder Width at 45 Degree Angle,Back Shoulder Width Through Back Of Neck,Back Vertical Rise,Bicep Circumference Left,Bicep Circumference Right,Bust Girth With Drop Tape Measure,Bust Prominence Left,Bust Prominence Right,Bust To Bust Length,Calf Circumference Left,Calf Circumference Right,Center Trunk Length Tape Measure,Cervicale to Bust Length Left,Cervicale to Bust Length Right,Chest / Bust Circum Tape Measure,Chin Height,Collar Circumference,Crotch Height,Crotch Length Full,Elbow Circumference Tape Measure Left,Elbow Circumference Tape Measure Right,Elbow Height Left,Elbow Height Right,Elbow Height Waist Tape Measure,Foot Length Left,Foot Length Right,Forearm Circumference Left,Forearm Circumference Right,Front Hip Tape Measure,Front Jacket Tape Measure,Front Shoulder Width,Front Vertical Rise,Front Waist Tape Measure,Half Back Center Tape Measure,Halter,Head Circumference2,Hinged Bust Circumference,Hinged Upper Bust Circumference,Hip Circum Tape Measure,Hips Two Inches Above Crotch,Horizontal Waist Tape Measure,Horizontal Waist Height,Inseam Left,Inseam Right,Knee Circumference Left,Knee Circumference Right,Mid Shoulder Height Left,Mid Shoulder Height Right,Mid Shoulder To Bust Length Left,Mid Shoulder To Bust Length Right,MidThigh Circumference Left,MidThigh Circumference Right,Min Lower Leg Girth Left,Min Lower Leg Girth Right,Min lower leg Height Left,Min lower leg Height Right,Narrow Waist Tape Measure,Neck Circumference,Outside Leg Length Left,Outside Leg Length Right,Over Arm Circum Tape Measure,Pants Waist Tape Measure,Seat Circum Tape Measure,Seat Fold Height,Shoulder Arc Left,Shoulder Arc Right,Shoulder Circumference,Shoulder Length Left,Shoulder Length Right,Shoulder Slope Left,Shoulder Slope Right,Side Back Waist to Floor Left,Side Back Waist to Floor Right,Side Neck to Bust length Left,Side Neck to Bust length Right,Side Neck Trunk Length Tape Measure,Sleeve Length Left,Sleeve Length Right,Stomach FP Circum Tape Measure,Stomach Max Circum Tape Measure,Subject Height,Thigh Circumference Left,Thigh Circumference Right,Thigh Height Left,Thigh Height Right,Underbust Circum Tape Measure,UnderKnee Circumference Left,UnderKnee Circumference Right,UnderKnee Height Left,UnderKnee Height Right,Upper Bust Front Length,Vertical Trunk Circumference Left,Vertical Trunk Circumference Right,Waist at 50%,Narrow Waist,Waist Circum Tape Measure,Waist Height,Wrist Circumference Left,Wrist Circumference Right
27,20,F,A - White ,158.20,72.05,56.00,102.16,85.08,13.84,104.20,46.64,57.49,28.55,45.89,26.64,26.72,46.68,45.65,53.60,53.61,40.10,42.12,26.15,20.44,28.43,40.40,36.85,37.24,18.30,33.09,30.83,102.60,22.82,26.19,16.43,41.26,41.26,142.21,37.53,36.71,106.45,135.53,34.21,71.23,49.61,26.20,26.81,100.76,100.57,89.76,23.93,24.22,26.09,26.46,54.44,71.52,40.38,13.84,50.03,50.27,95.73,48.51,115.86,98.11,109.75,109.64,100.74,89.53,72.33,72.24,41.96,40.52,132.94,133.57,29.19,29.77,51.54,53.03,25.89,26.88,11.61,8.82,87.55,37.11,87.86,87.88,121.30,101.34,106.24,72.65,59.87,59.89,107.69,11.93,11.99,25.02,23.13,90.07,89.97,28.17,29.63,157.63,71.00,71.77,92.39,100.37,158.82,62.84,63.50,66.15,66.15,87.64,40.01,39.67,39.24,39.46,39.74,157.60,158.05,95.73,87.88,99.61,87.60,16.44,17.57
28,20,F,A - White ,158.50,57.15,60.00,92.18,88.32,16.28,87.48,40.56,46.92,26.95,40.54,21.53,21.13,40.04,43.10,55.40,55.14,43.11,43.60,23.84,19.94,25.54,38.75,35.69,35.61,20.03,27.26,26.01,83.76,22.00,22.58,11.97,36.06,35.69,139.50,33.19,34.53,86.37,136.66,34.01,72.04,52.15,24.76,23.80,100.20,99.64,75.17,21.07,19.24,24.40,23.88,50.83,68.21,36.40,16.28,44.94,46.35,79.35,59.35,93.82,86.89,102.40,102.04,89.32,92.07,73.33,72.65,36.10,35.19,132.60,132.73,25.28,25.50,43.52,43.84,21.70,21.31,10.69,10.69,71.79,37.77,90.98,90.43,107.73,92.69,98.22,74.29,54.08,53.21,98.88,11.91,9.53,25.89,25.75,92.51,92.86,23.47,24.75,149.60,71.62,71.76,90.18,88.99,160.34,53.76,56.00,66.96,66.96,76.01,35.18,34.10,39.25,39.10,37.37,148.90,147.32,81.09,71.79,90.56,90.13,16.85,16.01
46,20,F,A - White ,161.90,60.65,57.20,93.57,92.36,17.69,91.15,39.80,50.88,25.40,38.28,24.30,24.52,42.97,41.13,53.82,53.99,40.26,42.22,23.31,18.92,24.01,41.20,36.51,36.51,21.68,30.07,27.22,90.77,27.05,26.43,11.53,36.38,36.62,136.44,35.24,36.01,93.28,138.78,33.00,74.66,56.88,23.77,23.92,105.19,103.44,73.49,22.45,23.00,23.85,24.24,49.97,69.13,36.41,17.69,48.72,43.30,90.71,65.05,105.67,87.26,103.96,103.47,89.45,96.34,75.62,75.42,35.80,36.70,135.96,135.34,27.47,27.43,45.50,45.95,23.48,24.20,11.67,11.83,73.51,36.58,95.25,95.38,112.09,92.09,99.29,75.64,55.34,53.89,99.50,11.45,10.61,17.91,20.38,97.06,97.14,25.40,25.31,152.62,69.64,71.77,93.61,89.15,163.94,57.76,58.71,69.58,69.58,75.63,34.47,34.87,40.71,39.84,38.58,153.60,151.52,81.06,73.57,91.84,94.96,16.25,16.29
52,20,F,A - White ,163.00,49.00,55.70,84.48,92.76,18.04,87.52,41.24,46.01,27.09,37.07,23.41,23.70,41.29,41.43,68.93,68.65,55.82,56.77,19.33,18.05,19.78,36.86,34.22,35.32,22.66,25.61,25.50,81.35,22.00,23.07,13.85,35.81,36.31,134.74,35.03,34.78,86.05,137.66,32.15,74.72,56.89,23.02,22.96,99.42,98.15,72.23,24.38,25.83,21.50,21.55,43.39,68.96,33.18,19.37,40.25,39.68,81.89,53.61,93.19,83.91,89.49,89.00,75.94,97.38,76.44,75.69,37.39,37.66,134.80,133.83,24.28,23.56,41.14,42.20,23.24,23.93,12.05,9.21,62.91,39.28,96.28,96.40,102.35,83.41,87.27,75.45,50.31,49.05,92.56,9.49,9.82,18.62,25.94,98.69,98.57,24.20,24.16,148.17,84.37,85.57,82.72,75.64,165.80,49.80,50.29,69.64,69.64,73.56,35.50,35.84,38.49,38.74,32.61,145.58,145.22,68.23,62.93,79.20,95.89,13.97,19.40
70,20,F,A - White ,166.00,86.35,57.20,109.44,92.92,15.21,113.33,47.96,65.40,30.99,46.83,27.23,27.54,51.09,51.32,50.14,49.72,37.56,37.21,25.49,19.77,27.32,51.21,46.81,45.89,19.95,32.47,33.53,109.96,31.13,33.45,18.26,45.19,45.72,145.71,39.75,39.28,112.36,145.91,35.69,77.70,56.71,27.12,28.01,109.38,108.44,91.62,24.68,25.27,27.11,27.73,57.35,74.58,47.31,15.21,53.35,48.65,91.52,65.17,119.95,109.71,116.11,116.06,103.59,97.66,78.26,78.22,44.78,45.51,142.12,142.13,31.18,31.49,57.44,58.65,27.37,27.48,9.32,12.21,89.82,38.03,96.01,95.72,133.66,107.47,114.31,79.12,62.31,62.18,119.40,15.91,15.26,21.10,19.23,98.57,98.77,30.22,29.28,166.77,72.49,71.25,95.99,103.38,167.82,68.21,70.43,72.62,72.62,89.87,43.05,43.99,42.02,41.52,51.28,169.25,169.60,101.43,90.05,104.05,95.45,16.37,18.26
89,20,F,R - Chinese,172.40,59.95,55.50,84.36,98.02,19.44,95.99,39.02,56.54,28.42,44.88,22.84,22.81,46.06,41.40,58.65,58.72,44.94,45.85,17.96,18.48,18.36,38.14,36.56,36.59,23.04,24.79,25.82,91.40,26.08,25.15,11.88,36.40,35.19,144.43,33.38,32.00,95.26,146.86,30.91,78.57,57.62,22.56,22.76,107.32,109.75,69.06,23.34,24.53,22.13,22.49,44.58,75.23,39.42,19.44,38.10,43.92,81.12,57.88,98.38,91.21,92.99,92.98,79.84,101.61,79.89,79.31,36.30,36.68,142.64,142.85,25.40,25.79,42.66,43.42,20.86,20.98,13.14,12.55,68.96,35.69,100.66,100.28,108.97,84.15,92.56,79.75,47.40,46.77,97.48,12.60,12.60,21.82,17.85,103.29,102.85,23.94,23.76,157.49,75.70,75.39,71.41,79.57,171.12,49.96,50.46,73.49,73.49,80.51,33.69,33.05,40.16,39.12,44.88,156.29,156.85,69.18,69.01,81.32,99.54,16.22,15.56
95,20,F,R - Chinese,175.30,49.30,54.80,74.69,99.50,20.51,90.06,37.59,52.38,24.85,41.32,20.35,21.90,37.15,37.87,57.56,56.00,46.39,44.65,19.62,18.67,20.08,37.51,35.19,35.48,23.58,22.53,22.84,82.92,19.52,23.99,11.64,32.67,32.71,143.94,33.25,33.81,86.93,150.89,30.24,78.99,60.16,21.87,21.96,112.04,111.93,61.87,23.95,24.02,21.83,21.52,42.28,76.81,36.09,20.51,38.00,46.45,80.00,69.25,93.34,83.50,92.49,92.19,69.40,102.57,80.40,80.13,34.39,34.06,144.30,144.49,24.59,25.15,40.65,40.69,20.59,21.60,11.57,13.89,61.68,36.33,102.27,102.20,101.89,74.89,92.43,80.93,47.49,48.01,90.88,10.29,11.11,28.28,27.46,104.97,105.11,23.57,25.17,161.97,74.27,73.07,62.21,69.16,173.56,47.22,47.52,73.91,73.91,74.58,30.68,30.01,41.83,42.19,39.61,157.44,159.29,63.70,61.70,70.39,101.40,16.59,16.01
8,21,F,A - White ,154.80,58.45,53.40,90.01,85.54,16.83,90.98,38.99,51.86,25.01,37.72,25.09,25.70,43.53,43.74,53.56,51.03,39.10,38.10,23.89,20.14,25.36,34.80,32.55,32.31,20.82,31.78,29.44,90.77,25.54,25.06,13.44,37.36,37.75,147.32,35.42,34.06,92.87,138.06,36.01,68.71,56.91,25.42,26.16,99.02,99.64,73.36,24.53,24.26,25.19,25.45,49.88,69.53,37.72,16.83,45.34,45.12,85.93,62.35,98.79,87.08,101.06,101.00,86.81,89.54,69.63,69.67,39.26,39.40,129.28,130.54,27.48,27.99,47.46,48.67,25.43,25.72,11.41,10.98,71.98,36.57,88.20,88.12,112.17,90.55,99.38,70.05,55.00,55.65,99.94,11.25,10.56,24.64,13.68,90.46,90.08,26.42,28.68,155.76,68.83,65.53,89.18,86.51,158.61,58.27,58.74,63.63,63.63,76.09,36.84,37.23,35.95,35.54,39.74,154.27,156.82,78.94,71.99,88.17,87.75,16.83,15.93
11,21,F,A - White ,155.00,52.80,54.50,87.30,85.40,16.47,95.78,38.21,57.59,25.28,42.50,21.78,22.11,45.17,56.42,54.21,52.18,40.82,39.66,21.22,19.08,22.39,35.51,33.58,33.63,20.07,29.93,30.48,88.91,23.92,25.21,14.67,34.30,34.61,137.48,33.27,34.56,94.13,132.49,33.87,68.93,52.97,24.77,24.09,96.61,95.88,73.27,21.49,21.86,24.31,23.98,47.81,68.12,36.12,16.47,47.53,28.47,93.11,68.19,98.29,89.61,96.21,96.18,84.35,88.99,69.88,69.61,34.23,33.79,128.13,126.96,26.17,24.72,43.89,43.01,21.42,21.57,11.27,10.80,72.68,38.86,88.19,88.49,106.38,88.91,95.39,70.35,50.43,48.49,94.32,10.01,9.32,25.43,30.22,89.61,89.47,24.15,24.90,148.18,68.52,68.92,72.53,84.11,154.51,55.08,54.65,63.85,63.85,74.58,33.50,32.74,37.83,37.58,42.82,148.64,146.54,75.91,72.75,85.44,87.93,16.28,15.83
23,21,F,A - White ,157.80,51.50,58.00,87.48,85.13,14.89,90.01,42.77,46.97,29.67,37.52,22.43,22.60,41.95,42.91,52.15,53.54,39.10,43.09,23.09,19.64,24.18,35.98,33.29,33.32,18.34,25.53,23.06,85.96,23.40,24.61,12.60,35.80,34.87,134.44,33.50,34.76,89.41,134.90,33.31,70.24,49.14,23.23,22.38,98.45,95.26,70.42,24.77,25.19,22.90,21.89,46.95,67.84,34.10,14.89,42.18,35.40,84.68,61.82,97.78,84.98,96.25,95.39,81.80,88.58,71.36,71.43,38.09,37.36,131.29,129.77,26.46,24.84,43.79,42.99,22.56,22.26,12.90,12.90,69.70,37.95,87.44,87.37,102.34,87.85,93.87,70.97,52.76,50.84,93.46,9.68,9.12,25.83,30.66,89.54,89.79,25.96,24.06,149.00,66.18,70.72,80.67,81.52,160.47,52.41,52.98,65.16,65.16,74.77,35.49,34.64,36.29,36.05,32.91,149.75,146.55,73.21,69.73,82.88,87.08,16.51,15.43
