Column1,B350ML22 2024-03-20_14-43-31_1.obj,B350ML22 2024-03-20_14-43-31_2.obj,B350ML22 2024-03-20_14-43-31_3.obj,B350ML22 2024-03-20_14-43-31_4.obj,B350ML22 2024-03-20_14-43-31_5.obj,Pre Process Median,Column1,B350ML22 2024-03-20_14-43-31_1-LRSnp.obj,B350ML22 2024-03-20_14-43-31_2-CFW-RAp-LRSnp.obj,B350ML22 2024-03-20_14-43-31_3-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_4-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_5-CFW-LRAp-RSh-LRSnp.obj,Median,Column1,Difference in median values processed to non processed Scan 1
N01c_Neck_Column_Circ_000c,38.74,39.14,38.22,38.62,38.83,38.74,N01c_Neck_Column_Circ_000c,38.73,39.14,38.71,38.51,39,38.73,N01c_Neck_Column_Circ_000c,-0.01
N01d_Neck_Column_Circ_Depth_000d,11.97,11.98,11.96,11.54,11.98,11.97,N01d_Neck_Column_Circ_Depth_000d,11.98,11.97,11.69,11.72,12.08,11.97,N01d_Neck_Column_Circ_Depth_000d,0
N01w_Neck_Column_Circ_Width_000w,12.62,12.88,12.46,12.76,12.66,12.66,N01w_Neck_Column_Circ_Width_000w,12.61,12.88,12.78,12.62,12.82,12.78,N01w_Neck_Column_Circ_Width_000w,0.12
N01hb_Neck_Column_Circ_CB_Height_000hb,149.43,149.58,149.8,149.51,149.56,149.56,N01hb_Neck_Column_Circ_CB_Height_000hb,149.47,149.58,149.7,149.67,149.54,149.58,N01hb_Neck_Column_Circ_CB_Height_000hb,0.02
N10c_Neck_Base_Circ_001c,44.9,45.43,44.49,44.86,42.8,44.86,N10c_Neck_Base_Circ_001c,41.1,43.56,42.57,42.31,42.16,42.31,N10c_Neck_Base_Circ_001c,-2.55
N10f_Neck_Base_Circ_Fr_Arc_001f,19.75,20.49,19.52,20.74,21.49,20.49,N10f_Neck_Base_Circ_Fr_Arc_001f,24.54,24.75,25.25,25.42,25.43,25.25,N10f_Neck_Base_Circ_Fr_Arc_001f,4.76
N10b_Neck_Base_Circ_Bk_Arc_001b,25.14,24.94,24.97,24.12,21.31,24.94,N10b_Neck_Base_Circ_Bk_Arc_001b,16.57,18.81,17.32,16.89,16.74,16.89,N10b_Neck_Base_Circ_Bk_Arc_001b,-8.05
N10d_Neck_Base_Circ_Depth_001d,11.84,13.18,11.38,12.25,11.92,11.92,N10d_Neck_Base_Circ_Depth_001d,11.99,12.65,12.86,11.64,12.16,12.16,N10d_Neck_Base_Circ_Depth_001d,0.24
N10df_Neck_Base_Circ_Fr_Depth_001df,10.45,10.79,9.01,10.21,9.94,10.21,N10df_Neck_Base_Circ_Fr_Depth_001df,8.78,8.51,9.59,8.85,9.12,8.85,N10df_Neck_Base_Circ_Fr_Depth_001df,-1.36
N10db_Neck_Base_Circ_Bk_Depth_001db,1.39,2.38,2.37,2.04,1.97,2.04,N10db_Neck_Base_Circ_Bk_Depth_001db,3.2,4.14,3.28,2.79,3.03,3.2,N10db_Neck_Base_Circ_Bk_Depth_001db,1.16
N10w_Neck_Base_Circ_Width_001w,13.89,14.35,15.65,14.39,11.96,14.35,N10w_Neck_Base_Circ_Width_001w,13.7,15.2,14.26,14.68,14.28,14.28,N10w_Neck_Base_Circ_Width_001w,-0.07
N10hb_Neck_Base_Circ_CB_Height_001hb,147.93,146.82,147.08,147.01,147.81,147.08,N10hb_Neck_Base_Circ_CB_Height_001hb,147.93,146.82,147.17,148.21,147.8,147.8,N10hb_Neck_Base_Circ_CB_Height_001hb,0.72
N10xhl_Neck_Base_Side_Neck_Height_L,147.98,147.96,146.98,147.56,147.53,147.56,N10xhl_Neck_Base_Side_Neck_Height_L,147.64,146.86,147.51,147.13,147.26,147.26,N10xhl_Neck_Base_Side_Neck_Height_L,-0.3
N10xhr_Neck_Base_Side_Neck_Height_R,146.57,146.38,146.76,146.46,147.72,146.57,N10xhr_Neck_Base_Side_Neck_Height_R,147.58,146.75,146.97,147.04,147.39,147.04,N10xhr_Neck_Base_Side_Neck_Height_R,0.47
S10c_Shoulder_Circ_168c,106.42,109.4,108.4,108.38,108.44,108.4,S10c_Shoulder_Circ_168c,106.42,107.91,107.72,108.04,108.09,107.91,S10c_Shoulder_Circ_168c,-0.49
S10h_Shoulder_Circ_Height_168h,136.64,135.12,135.53,135.54,135.67,135.54,S10h_Shoulder_Circ_Height_168h,136.64,135.89,135.88,135.7,135.84,135.88,S10h_Shoulder_Circ_Height_168h,0.34
S11c_Over_Arm_Circ_073c,113.05,114.43,114.48,114.62,114.76,114.48,S11c_Over_Arm_Circ_073c,113.05,114.43,114.48,114.61,114.87,114.48,S11c_Over_Arm_Circ_073c,0
S11h_Over_Arm_Circ_Heigh_073h,132.62,131.16,130.73,130.69,130.78,130.78,S11h_Over_Arm_Circ_Heigh_073h,132.62,131.16,130.74,130.7,130.63,130.74,S11h_Over_Arm_Circ_Heigh_073h,-0.04
S11d_Over_Arm_Circ_Depth_073d,20.32,20.86,21.07,20.97,21.09,20.97,S11d_Over_Arm_Circ_Depth_073d,20.32,20.86,21.07,20.96,21.16,20.96,S11d_Over_Arm_Circ_Depth_073d,-0.01
S11w_Over_Arm_Circ_Width_073w,47.43,47.67,47.65,47.75,47.65,47.65,S11w_Over_Arm_Circ_Width_073w,47.43,47.67,47.65,47.75,47.7,47.67,S11w_Over_Arm_Circ_Width_073w,0.02
